program,source,date,month,day_of_month,days_in_month,day_weight,pacing_pct_mtd,target_spend_day,target_spend_mtd,actual_spend_day,actual_spend_mtd,spend_var_pct_mtd,target_leads_day,target_leads_mtd,actual_leads_day,actual_leads_mtd,lead_var_pct_mtd,target_appointments_day,target_appointments_mtd,actual_appointments_day,actual_appointments_mtd,appointment_var_pct_mtd,target_demos_day,target_demos_mtd,actual_demos_day,actual_demos_mtd,demo_var_pct_mtd,target_enrollments_day,target_enrollments_mtd,actual_enrollments_day,actual_enrollments_mtd,enrollment_var_pct_mtd,target_cpl_month,target_cpl_mtd_implied,actual_cpl_mtd,cpl_var_pct_mtd,notes
Edge BSc (Healthcare),Google,2026-03-01,Mar 26,1,31,0.032258,0.032258,25335.48,25335.48,,,,39.7419,39.7419,,,,2.4839,2.4839,,,,0.9935,0.9935,,,,0.2981,0.2981,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-02,Mar 26,2,31,0.032258,0.064516,25335.48,50670.97,,,,39.7419,79.4839,,,,2.4839,4.9677,,,,0.9935,1.9871,,,,0.2981,0.5961,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-03,Mar 26,3,31,0.032258,0.096774,25335.48,76006.45,,,,39.7419,119.2258,,,,2.4839,7.4516,,,,0.9935,2.9806,,,,0.2981,0.8942,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-04,Mar 26,4,31,0.032258,0.129032,25335.48,101341.94,,,,39.7419,158.9677,,,,2.4839,9.9355,,,,0.9935,3.9742,,,,0.2981,1.1923,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-05,Mar 26,5,31,0.032258,0.16129,25335.48,126677.42,,,,39.7419,198.7097,,,,2.4839,12.4194,,,,0.9935,4.9677,,,,0.2981,1.4903,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-06,Mar 26,6,31,0.032258,0.193548,25335.48,152012.9,,,,39.7419,238.4516,,,,2.4839,14.9032,,,,0.9935,5.9613,,,,0.2981,1.7884,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-07,Mar 26,7,31,0.032258,0.225806,25335.48,177348.39,,,,39.7419,278.1935,,,,2.4839,17.3871,,,,0.9935,6.9548,,,,0.2981,2.0865,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-08,Mar 26,8,31,0.032258,0.258065,25335.48,202683.87,,,,39.7419,317.9355,,,,2.4839,19.871,,,,0.9935,7.9484,,,,0.2981,2.3845,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-09,Mar 26,9,31,0.032258,0.290323,25335.48,228019.35,,,,39.7419,357.6774,,,,2.4839,22.3548,,,,0.9935,8.9419,,,,0.2981,2.6826,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-10,Mar 26,10,31,0.032258,0.322581,25335.48,253354.84,,,,39.7419,397.4194,,,,2.4839,24.8387,,,,0.9935,9.9355,,,,0.2981,2.9806,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-11,Mar 26,11,31,0.032258,0.354839,25335.48,278690.32,,,,39.7419,437.1613,,,,2.4839,27.3226,,,,0.9935,10.929,,,,0.2981,3.2787,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-12,Mar 26,12,31,0.032258,0.387097,25335.48,304025.81,,,,39.7419,476.9032,,,,2.4839,29.8065,,,,0.9935,11.9226,,,,0.2981,3.5768,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-13,Mar 26,13,31,0.032258,0.419355,25335.48,329361.29,,,,39.7419,516.6452,,,,2.4839,32.2903,,,,0.9935,12.9161,,,,0.2981,3.8748,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-14,Mar 26,14,31,0.032258,0.451613,25335.48,354696.77,,,,39.7419,556.3871,,,,2.4839,34.7742,,,,0.9935,13.9097,,,,0.2981,4.1729,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-15,Mar 26,15,31,0.032258,0.483871,25335.48,380032.26,,,,39.7419,596.129,,,,2.4839,37.2581,,,,0.9935,14.9032,,,,0.2981,4.471,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-16,Mar 26,16,31,0.032258,0.516129,25335.48,405367.74,,,,39.7419,635.871,,,,2.4839,39.7419,,,,0.9935,15.8968,,,,0.2981,4.769,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-17,Mar 26,17,31,0.032258,0.548387,25335.48,430703.23,,,,39.7419,675.6129,,,,2.4839,42.2258,,,,0.9935,16.8903,,,,0.2981,5.0671,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-18,Mar 26,18,31,0.032258,0.580645,25335.48,456038.71,,,,39.7419,715.3548,,,,2.4839,44.7097,,,,0.9935,17.8839,,,,0.2981,5.3652,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-19,Mar 26,19,31,0.032258,0.612903,25335.48,481374.19,,,,39.7419,755.0968,,,,2.4839,47.1935,,,,0.9935,18.8774,,,,0.2981,5.6632,,,,637.5,637.5,,,
Edge BSc (Healthcare),Google,2026-03-20,Mar 26,20,31,0.032258,0.645161,25335.48,506709.68,,,,39.7419,794.8387,,,,2.4839,49.6774,,,,0.9935,19.871,,,,0.2981,5.9613,,,,637.5,637.5,,,
