date,month,day_of_month,days_in_month,day_weight,pacing_pct_mtd,target_spend_day,target_spend_mtd,actual_spend_day,actual_spend_mtd,spend_var_pct_mtd,target_leads_day,target_leads_mtd,actual_leads_day,actual_leads_mtd,lead_var_pct_mtd,target_appointments_day,target_appointments_mtd,actual_appointments_day,actual_appointments_mtd,appointment_var_pct_mtd,target_demos_day,target_demos_mtd,actual_demos_day,actual_demos_mtd,demo_var_pct_mtd,target_enrollments_day,target_enrollments_mtd,actual_enrollments_day,actual_enrollments_mtd,enrollment_var_pct_mtd,target_cpl_month,target_cpl_mtd_implied,actual_cpl_mtd,cpl_var_pct_mtd,notes
2026-03-01,Mar 26,1,31,0.032258,0.032258,352422.46,352422.46,,,,1028.7668,1028.7668,,,,51.4384,51.4384,,,,20.5755,20.5755,,,,6.1726,6.1726,,,,342.57,342.57,,,
2026-03-02,Mar 26,2,31,0.032258,0.064516,352422.46,704844.92,,,,1028.7668,2057.5335,,,,51.4384,102.8768,,,,20.5755,41.151,,,,6.1726,12.3452,,,,342.57,342.57,,,
2026-03-03,Mar 26,3,31,0.032258,0.096774,352422.46,1057267.38,,,,1028.7668,3086.3003,,,,51.4384,154.3152,,,,20.5755,61.7265,,,,6.1726,18.5177,,,,342.57,342.57,,,
2026-03-04,Mar 26,4,31,0.032258,0.129032,352422.46,1409689.84,,,,1028.7668,4115.0671,,,,51.4384,205.7535,,,,20.5755,82.3019,,,,6.1726,24.6903,,,,342.57,342.57,,,
2026-03-05,Mar 26,5,31,0.032258,0.16129,352422.46,1762112.3,,,,1028.7668,5143.8339,,,,51.4384,257.1919,,,,20.5755,102.8774,,,,6.1726,30.8629,,,,342.57,342.57,,,
2026-03-06,Mar 26,6,31,0.032258,0.193548,352422.46,2114534.75,,,,1028.7668,6172.6006,,,,51.4384,308.6303,,,,20.5755,123.4529,,,,6.1726,37.0355,,,,342.57,342.57,,,
2026-03-07,Mar 26,7,31,0.032258,0.225806,352422.46,2466957.21,,,,1028.7668,7201.3674,,,,51.4384,360.0687,,,,20.5755,144.0284,,,,6.1726,43.2081,,,,342.57,342.57,,,
2026-03-08,Mar 26,8,31,0.032258,0.258065,352422.46,2819379.67,,,,1028.7668,8230.1342,,,,51.4384,411.5071,,,,20.5755,164.6039,,,,6.1726,49.3806,,,,342.57,342.57,,,
2026-03-09,Mar 26,9,31,0.032258,0.290323,352422.46,3171802.13,,,,1028.7668,9258.901,,,,51.4384,462.9455,,,,20.5755,185.1794,,,,6.1726,55.5532,,,,342.57,342.57,,,
2026-03-10,Mar 26,10,31,0.032258,0.322581,352422.46,3524224.59,,,,1028.7668,10287.6677,,,,51.4384,514.3839,,,,20.5755,205.7548,,,,6.1726,61.7258,,,,342.57,342.57,,,
2026-03-11,Mar 26,11,31,0.032258,0.354839,352422.46,3876647.05,,,,1028.7668,11316.4345,,,,51.4384,565.8223,,,,20.5755,226.3303,,,,6.1726,67.8984,,,,342.57,342.57,,,
2026-03-12,Mar 26,12,31,0.032258,0.387097,352422.46,4229069.51,,,,1028.7668,12345.2013,,,,51.4384,617.2606,,,,20.5755,246.9058,,,,6.1726,74.071,,,,342.57,342.57,,,
2026-03-13,Mar 26,13,31,0.032258,0.419355,352422.46,4581491.97,,,,1028.7668,13373.9681,,,,51.4384,668.699,,,,20.5755,267.4813,,,,6.1726,80.2435,,,,342.57,342.57,,,
2026-03-14,Mar 26,14,31,0.032258,0.451613,352422.46,4933914.43,,,,1028.7668,14402.7348,,,,51.4384,720.1374,,,,20.5755,288.0568,,,,6.1726,86.4161,,,,342.57,342.57,,,
2026-03-15,Mar 26,15,31,0.032258,0.483871,352422.46,5286336.89,,,,1028.7668,15431.5016,,,,51.4384,771.5758,,,,20.5755,308.6323,,,,6.1726,92.5887,,,,342.57,342.57,,,
2026-03-16,Mar 26,16,31,0.032258,0.516129,352422.46,5638759.34,,,,1028.7668,16460.2684,,,,51.4384,823.0142,,,,20.5755,329.2077,,,,6.1726,98.7613,,,,342.57,342.57,,,
2026-03-17,Mar 26,17,31,0.032258,0.548387,352422.46,5991181.8,,,,1028.7668,17489.0352,,,,51.4384,874.4526,,,,20.5755,349.7832,,,,6.1726,104.9339,,,,342.57,342.57,,,
2026-03-18,Mar 26,18,31,0.032258,0.580645,352422.46,6343604.26,,,,1028.7668,18517.8019,,,,51.4384,925.891,,,,20.5755,370.3587,,,,6.1726,111.1065,,,,342.57,342.57,,,
2026-03-19,Mar 26,19,31,0.032258,0.612903,352422.46,6696026.72,,,,1028.7668,19546.5687,,,,51.4384,977.3294,,,,20.5755,390.9342,,,,6.1726,117.279,,,,342.57,342.57,,,
2026-03-20,Mar 26,20,31,0.032258,0.645161,352422.46,7048449.18,,,,1028.7668,20575.3355,,,,51.4384,1028.7677,,,,20.5755,411.5097,,,,6.1726,123.4516,,,,342.57,342.57,,,
2026-03-21,Mar 26,21,31,0.032258,0.677419,352422.46,7400871.64,,,,1028.7668,21604.1023,,,,51.4384,1080.2061,,,,20.5755,432.0852,,,,6.1726,129.6242,,,,342.57,342.57,,,
2026-03-22,Mar 26,22,31,0.032258,0.709677,352422.46,7753294.1,,,,1028.7668,22632.869,,,,51.4384,1131.6445,,,,20.5755,452.6606,,,,6.1726,135.7968,,,,342.57,342.57,,,
2026-03-23,Mar 26,23,31,0.032258,0.741935,352422.46,8105716.56,,,,1028.7668,23661.6358,,,,51.4384,1183.0829,,,,20.5755,473.2361,,,,6.1726,141.9694,,,,342.57,342.57,,,
2026-03-24,Mar 26,24,31,0.032258,0.774194,352422.46,8458139.02,,,,1028.7668,24690.4026,,,,51.4384,1234.5213,,,,20.5755,493.8116,,,,6.1726,148.1419,,,,342.57,342.57,,,
2026-03-25,Mar 26,25,31,0.032258,0.806452,352422.46,8810561.48,,,,1028.7668,25719.1694,,,,51.4384,1285.9597,,,,20.5755,514.3871,,,,6.1726,154.3145,,,,342.57,342.57,,,
2026-03-26,Mar 26,26,31,0.032258,0.83871,352422.46,9162983.93,,,,1028.7668,26747.9361,,,,51.4384,1337.3981,,,,20.5755,534.9626,,,,6.1726,160.4871,,,,342.57,342.57,,,
2026-03-27,Mar 26,27,31,0.032258,0.870968,352422.46,9515406.39,,,,1028.7668,27776.7029,,,,51.4384,1388.8365,,,,20.5755,555.5381,,,,6.1726,166.6597,,,,342.57,342.57,,,
2026-03-28,Mar 26,28,31,0.032258,0.903226,352422.46,9867828.85,,,,1028.7668,28805.4697,,,,51.4384,1440.2748,,,,20.5755,576.1135,,,,6.1726,172.8323,,,,342.57,342.57,,,
2026-03-29,Mar 26,29,31,0.032258,0.935484,352422.46,10220251.31,,,,1028.7668,29834.2365,,,,51.4384,1491.7132,,,,20.5755,596.689,,,,6.1726,179.0048,,,,342.57,342.57,,,
2026-03-30,Mar 26,30,31,0.032258,0.967742,352422.46,10572673.77,,,,1028.7668,30863.0032,,,,51.4384,1543.1516,,,,20.5755,617.2645,,,,6.1726,185.1774,,,,342.57,342.57,,,
2026-03-31,Mar 26,31,31,0.032258,1.0,352422.46,10925096.23,,,,1028.7668,31891.77,,,,51.4384,1594.59,,,,20.5755,637.84,,,,6.1726,191.35,,,,342.57,342.57,,,
2026-04-01,Apr 26,1,30,0.033333,0.033333,448162.1,448162.1,,,,1262.7647,1262.7647,,,,61.9003,61.9003,,,,24.76,24.76,,,,7.428,7.428,,,,354.91,354.91,,,
2026-04-02,Apr 26,2,30,0.033333,0.066667,448162.1,896324.2,,,,1262.7647,2525.5293,,,,61.9003,123.8007,,,,24.76,49.52,,,,7.428,14.856,,,,354.91,354.91,,,
2026-04-03,Apr 26,3,30,0.033333,0.1,448162.1,1344486.3,,,,1262.7647,3788.294,,,,61.9003,185.701,,,,24.76,74.28,,,,7.428,22.284,,,,354.91,354.91,,,
2026-04-04,Apr 26,4,30,0.033333,0.133333,448162.1,1792648.41,,,,1262.7647,5051.0587,,,,61.9003,247.6013,,,,24.76,99.04,,,,7.428,29.712,,,,354.91,354.91,,,
2026-04-05,Apr 26,5,30,0.033333,0.166667,448162.1,2240810.51,,,,1262.7647,6313.8233,,,,61.9003,309.5017,,,,24.76,123.8,,,,7.428,37.14,,,,354.91,354.91,,,
2026-04-06,Apr 26,6,30,0.033333,0.2,448162.1,2688972.61,,,,1262.7647,7576.588,,,,61.9003,371.402,,,,24.76,148.56,,,,7.428,44.568,,,,354.91,354.91,,,
2026-04-07,Apr 26,7,30,0.033333,0.233333,448162.1,3137134.71,,,,1262.7647,8839.3527,,,,61.9003,433.3023,,,,24.76,173.32,,,,7.428,51.996,,,,354.91,354.91,,,
2026-04-08,Apr 26,8,30,0.033333,0.266667,448162.1,3585296.81,,,,1262.7647,10102.1173,,,,61.9003,495.2027,,,,24.76,198.08,,,,7.428,59.424,,,,354.91,354.91,,,
2026-04-09,Apr 26,9,30,0.033333,0.3,448162.1,4033458.91,,,,1262.7647,11364.882,,,,61.9003,557.103,,,,24.76,222.84,,,,7.428,66.852,,,,354.91,354.91,,,
2026-04-10,Apr 26,10,30,0.033333,0.333333,448162.1,4481621.01,,,,1262.7647,12627.6467,,,,61.9003,619.0033,,,,24.76,247.6,,,,7.428,74.28,,,,354.91,354.91,,,
2026-04-11,Apr 26,11,30,0.033333,0.366667,448162.1,4929783.11,,,,1262.7647,13890.4113,,,,61.9003,680.9037,,,,24.76,272.36,,,,7.428,81.708,,,,354.91,354.91,,,
2026-04-12,Apr 26,12,30,0.033333,0.4,448162.1,5377945.22,,,,1262.7647,15153.176,,,,61.9003,742.804,,,,24.76,297.12,,,,7.428,89.136,,,,354.91,354.91,,,
2026-04-13,Apr 26,13,30,0.033333,0.433333,448162.1,5826107.32,,,,1262.7647,16415.9407,,,,61.9003,804.7043,,,,24.76,321.88,,,,7.428,96.564,,,,354.91,354.91,,,
2026-04-14,Apr 26,14,30,0.033333,0.466667,448162.1,6274269.42,,,,1262.7647,17678.7053,,,,61.9003,866.6047,,,,24.76,346.64,,,,7.428,103.992,,,,354.91,354.91,,,
2026-04-15,Apr 26,15,30,0.033333,0.5,448162.1,6722431.52,,,,1262.7647,18941.47,,,,61.9003,928.505,,,,24.76,371.4,,,,7.428,111.42,,,,354.91,354.91,,,
2026-04-16,Apr 26,16,30,0.033333,0.533333,448162.1,7170593.62,,,,1262.7647,20204.2347,,,,61.9003,990.4053,,,,24.76,396.16,,,,7.428,118.848,,,,354.91,354.91,,,
2026-04-17,Apr 26,17,30,0.033333,0.566667,448162.1,7618755.72,,,,1262.7647,21466.9993,,,,61.9003,1052.3057,,,,24.76,420.92,,,,7.428,126.276,,,,354.91,354.91,,,
2026-04-18,Apr 26,18,30,0.033333,0.6,448162.1,8066917.82,,,,1262.7647,22729.764,,,,61.9003,1114.206,,,,24.76,445.68,,,,7.428,133.704,,,,354.91,354.91,,,
2026-04-19,Apr 26,19,30,0.033333,0.633333,448162.1,8515079.93,,,,1262.7647,23992.5287,,,,61.9003,1176.1063,,,,24.76,470.44,,,,7.428,141.132,,,,354.91,354.91,,,
2026-04-20,Apr 26,20,30,0.033333,0.666667,448162.1,8963242.03,,,,1262.7647,25255.2933,,,,61.9003,1238.0067,,,,24.76,495.2,,,,7.428,148.56,,,,354.91,354.91,,,
2026-04-21,Apr 26,21,30,0.033333,0.7,448162.1,9411404.13,,,,1262.7647,26518.058,,,,61.9003,1299.907,,,,24.76,519.96,,,,7.428,155.988,,,,354.91,354.91,,,
2026-04-22,Apr 26,22,30,0.033333,0.733333,448162.1,9859566.23,,,,1262.7647,27780.8227,,,,61.9003,1361.8073,,,,24.76,544.72,,,,7.428,163.416,,,,354.91,354.91,,,
2026-04-23,Apr 26,23,30,0.033333,0.766667,448162.1,10307728.33,,,,1262.7647,29043.5873,,,,61.9003,1423.7077,,,,24.76,569.48,,,,7.428,170.844,,,,354.91,354.91,,,
2026-04-24,Apr 26,24,30,0.033333,0.8,448162.1,10755890.43,,,,1262.7647,30306.352,,,,61.9003,1485.608,,,,24.76,594.24,,,,7.428,178.272,,,,354.91,354.91,,,
2026-04-25,Apr 26,25,30,0.033333,0.833333,448162.1,11204052.53,,,,1262.7647,31569.1167,,,,61.9003,1547.5083,,,,24.76,619.0,,,,7.428,185.7,,,,354.91,354.91,,,
2026-04-26,Apr 26,26,30,0.033333,0.866667,448162.1,11652214.63,,,,1262.7647,32831.8813,,,,61.9003,1609.4087,,,,24.76,643.76,,,,7.428,193.128,,,,354.91,354.91,,,
2026-04-27,Apr 26,27,30,0.033333,0.9,448162.1,12100376.74,,,,1262.7647,34094.646,,,,61.9003,1671.309,,,,24.76,668.52,,,,7.428,200.556,,,,354.91,354.91,,,
2026-04-28,Apr 26,28,30,0.033333,0.933333,448162.1,12548538.84,,,,1262.7647,35357.4107,,,,61.9003,1733.2093,,,,24.76,693.28,,,,7.428,207.984,,,,354.91,354.91,,,
2026-04-29,Apr 26,29,30,0.033333,0.966667,448162.1,12996700.94,,,,1262.7647,36620.1753,,,,61.9003,1795.1097,,,,24.76,718.04,,,,7.428,215.412,,,,354.91,354.91,,,
2026-04-30,Apr 26,30,30,0.033333,1.0,448162.1,13444863.04,,,,1262.7647,37882.94,,,,61.9003,1857.01,,,,24.76,742.8,,,,7.428,222.84,,,,354.91,354.91,,,
2026-05-01,May 26,1,31,0.032258,0.032258,832644.57,832644.57,,,,2155.4677,2155.4677,,,,103.6284,103.6284,,,,41.4513,41.4513,,,,12.4355,12.4355,,,,386.29,386.29,,,
2026-05-02,May 26,2,31,0.032258,0.064516,832644.57,1665289.14,,,,2155.4677,4310.9355,,,,103.6284,207.2568,,,,41.4513,82.9026,,,,12.4355,24.871,,,,386.29,386.29,,,
2026-05-03,May 26,3,31,0.032258,0.096774,832644.57,2497933.71,,,,2155.4677,6466.4032,,,,103.6284,310.8852,,,,41.4513,124.3539,,,,12.4355,37.3065,,,,386.29,386.29,,,
2026-05-04,May 26,4,31,0.032258,0.129032,832644.57,3330578.29,,,,2155.4677,8621.871,,,,103.6284,414.5135,,,,41.4513,165.8052,,,,12.4355,49.7419,,,,386.29,386.29,,,
2026-05-05,May 26,5,31,0.032258,0.16129,832644.57,4163222.86,,,,2155.4677,10777.3387,,,,103.6284,518.1419,,,,41.4513,207.2565,,,,12.4355,62.1774,,,,386.29,386.29,,,
2026-05-06,May 26,6,31,0.032258,0.193548,832644.57,4995867.43,,,,2155.4677,12932.8065,,,,103.6284,621.7703,,,,41.4513,248.7077,,,,12.4355,74.6129,,,,386.29,386.29,,,
2026-05-07,May 26,7,31,0.032258,0.225806,832644.57,5828512.0,,,,2155.4677,15088.2742,,,,103.6284,725.3987,,,,41.4513,290.159,,,,12.4355,87.0484,,,,386.29,386.29,,,
2026-05-08,May 26,8,31,0.032258,0.258065,832644.57,6661156.57,,,,2155.4677,17243.7419,,,,103.6284,829.0271,,,,41.4513,331.6103,,,,12.4355,99.4839,,,,386.29,386.29,,,
2026-05-09,May 26,9,31,0.032258,0.290323,832644.57,7493801.14,,,,2155.4677,19399.2097,,,,103.6284,932.6555,,,,41.4513,373.0616,,,,12.4355,111.9194,,,,386.29,386.29,,,
2026-05-10,May 26,10,31,0.032258,0.322581,832644.57,8326445.71,,,,2155.4677,21554.6774,,,,103.6284,1036.2839,,,,41.4513,414.5129,,,,12.4355,124.3548,,,,386.29,386.29,,,
2026-05-11,May 26,11,31,0.032258,0.354839,832644.57,9159090.28,,,,2155.4677,23710.1452,,,,103.6284,1139.9123,,,,41.4513,455.9642,,,,12.4355,136.7903,,,,386.29,386.29,,,
2026-05-12,May 26,12,31,0.032258,0.387097,832644.57,9991734.86,,,,2155.4677,25865.6129,,,,103.6284,1243.5406,,,,41.4513,497.4155,,,,12.4355,149.2258,,,,386.29,386.29,,,
2026-05-13,May 26,13,31,0.032258,0.419355,832644.57,10824379.43,,,,2155.4677,28021.0806,,,,103.6284,1347.169,,,,41.4513,538.8668,,,,12.4355,161.6613,,,,386.29,386.29,,,
2026-05-14,May 26,14,31,0.032258,0.451613,832644.57,11657024.0,,,,2155.4677,30176.5484,,,,103.6284,1450.7974,,,,41.4513,580.3181,,,,12.4355,174.0968,,,,386.29,386.29,,,
2026-05-15,May 26,15,31,0.032258,0.483871,832644.57,12489668.57,,,,2155.4677,32332.0161,,,,103.6284,1554.4258,,,,41.4513,621.7694,,,,12.4355,186.5323,,,,386.29,386.29,,,
2026-05-16,May 26,16,31,0.032258,0.516129,832644.57,13322313.14,,,,2155.4677,34487.4839,,,,103.6284,1658.0542,,,,41.4513,663.2206,,,,12.4355,198.9677,,,,386.29,386.29,,,
2026-05-17,May 26,17,31,0.032258,0.548387,832644.57,14154957.71,,,,2155.4677,36642.9516,,,,103.6284,1761.6826,,,,41.4513,704.6719,,,,12.4355,211.4032,,,,386.29,386.29,,,
2026-05-18,May 26,18,31,0.032258,0.580645,832644.57,14987602.28,,,,2155.4677,38798.4194,,,,103.6284,1865.311,,,,41.4513,746.1232,,,,12.4355,223.8387,,,,386.29,386.29,,,
2026-05-19,May 26,19,31,0.032258,0.612903,832644.57,15820246.85,,,,2155.4677,40953.8871,,,,103.6284,1968.9394,,,,41.4513,787.5745,,,,12.4355,236.2742,,,,386.29,386.29,,,
2026-05-20,May 26,20,31,0.032258,0.645161,832644.57,16652891.43,,,,2155.4677,43109.3548,,,,103.6284,2072.5677,,,,41.4513,829.0258,,,,12.4355,248.7097,,,,386.29,386.29,,,
2026-05-21,May 26,21,31,0.032258,0.677419,832644.57,17485536.0,,,,2155.4677,45264.8226,,,,103.6284,2176.1961,,,,41.4513,870.4771,,,,12.4355,261.1452,,,,386.29,386.29,,,
2026-05-22,May 26,22,31,0.032258,0.709677,832644.57,18318180.57,,,,2155.4677,47420.2903,,,,103.6284,2279.8245,,,,41.4513,911.9284,,,,12.4355,273.5806,,,,386.29,386.29,,,
2026-05-23,May 26,23,31,0.032258,0.741935,832644.57,19150825.14,,,,2155.4677,49575.7581,,,,103.6284,2383.4529,,,,41.4513,953.3797,,,,12.4355,286.0161,,,,386.29,386.29,,,
2026-05-24,May 26,24,31,0.032258,0.774194,832644.57,19983469.71,,,,2155.4677,51731.2258,,,,103.6284,2487.0813,,,,41.4513,994.831,,,,12.4355,298.4516,,,,386.29,386.29,,,
2026-05-25,May 26,25,31,0.032258,0.806452,832644.57,20816114.28,,,,2155.4677,53886.6935,,,,103.6284,2590.7097,,,,41.4513,1036.2823,,,,12.4355,310.8871,,,,386.29,386.29,,,
2026-05-26,May 26,26,31,0.032258,0.83871,832644.57,21648758.85,,,,2155.4677,56042.1613,,,,103.6284,2694.3381,,,,41.4513,1077.7335,,,,12.4355,323.3226,,,,386.29,386.29,,,
2026-05-27,May 26,27,31,0.032258,0.870968,832644.57,22481403.42,,,,2155.4677,58197.629,,,,103.6284,2797.9665,,,,41.4513,1119.1848,,,,12.4355,335.7581,,,,386.29,386.29,,,
2026-05-28,May 26,28,31,0.032258,0.903226,832644.57,23314048.0,,,,2155.4677,60353.0968,,,,103.6284,2901.5948,,,,41.4513,1160.6361,,,,12.4355,348.1935,,,,386.29,386.29,,,
2026-05-29,May 26,29,31,0.032258,0.935484,832644.57,24146692.57,,,,2155.4677,62508.5645,,,,103.6284,3005.2232,,,,41.4513,1202.0874,,,,12.4355,360.629,,,,386.29,386.29,,,
2026-05-30,May 26,30,31,0.032258,0.967742,832644.57,24979337.14,,,,2155.4677,64664.0323,,,,103.6284,3108.8516,,,,41.4513,1243.5387,,,,12.4355,373.0645,,,,386.29,386.29,,,
2026-05-31,May 26,31,31,0.032258,1.0,832644.57,25811981.71,,,,2155.4677,66819.5,,,,103.6284,3212.48,,,,41.4513,1284.99,,,,12.4355,385.5,,,,386.29,386.29,,,
