month,program,source,channel_share,channel_budget,target_leads,target_appointments,target_demos,target_enrollments,target_cpl,program_cac
Mar 26,Edge BSc (Healthcare),Google,0.5,785400.0,1232.0,77.0,30.8,9.24,637.5,85000
Mar 26,Edge BSc (Healthcare),Meta,0.5,785400.0,1848.0,77.0,30.8,9.24,425.0,85000
Mar 26,Smart Hosp (BVoc),Google,0.5,1150399.53,2045.15,127.82,51.13,15.34,562.5,75000
Mar 26,Smart Hosp (BVoc),Meta,0.5,1150399.53,3067.73,127.82,51.13,15.34,375.0,75000
Mar 26,Sprint Cert (Hospitality),Google,0.5,754250.0,2873.33,179.58,71.83,21.55,262.5,35000
Mar 26,Sprint Cert (Hospitality),Meta,0.5,754250.0,4310.0,179.58,71.83,21.55,175.0,35000
Mar 26,Sprint Cert (Health/AHP),Google,0.5,471750.0,2516.0,157.25,62.9,18.87,187.5,25000
Mar 26,Sprint Cert (Health/AHP),Meta,0.5,471750.0,3774.0,157.25,62.9,18.87,125.0,25000
Mar 26,Sprint Int Work Abroad,Google,0.5,1505949.8,2677.24,167.33,66.93,20.08,562.5,75000
Mar 26,Sprint Int Work Abroad,Meta,0.5,1505949.8,4015.87,167.33,66.93,20.08,375.0,75000
Mar 26,Edge BSc (Hospitality),Google,0.5,397399.39,706.49,44.16,17.66,5.3,562.5,75000
Mar 26,Edge BSc (Hospitality),Meta,0.5,397399.39,1059.73,44.16,17.66,5.3,375.0,75000
Mar 26,Ascend,Google,0.5,397399.39,706.49,44.16,17.66,5.3,562.5,75000
Mar 26,Ascend,Meta,0.5,397399.39,1059.73,44.16,17.66,5.3,375.0,75000
Apr 26,Edge BSc (Healthcare),Google,0.45,1885342.5,2957.4,184.84,73.94,22.18,637.5,85000
Apr 26,Edge BSc (Healthcare),Meta,0.55,2304307.5,5421.9,225.91,90.37,27.11,425.0,85000
Apr 26,Smart Hosp (BVoc),Google,0.45,1011061.7,1797.44,112.34,44.94,13.48,562.5,75000
Apr 26,Smart Hosp (BVoc),Meta,0.55,1235742.07,3295.31,137.3,54.92,16.48,375.0,75000
Apr 26,Sprint Cert (Hospitality),Google,0.45,663705.0,2528.4,158.02,63.21,18.96,262.5,35000
Apr 26,Sprint Cert (Hospitality),Meta,0.55,811195.0,4635.4,193.14,77.26,23.18,175.0,35000
Apr 26,Sprint Cert (Health/AHP),Google,0.45,466987.5,2490.6,155.66,62.26,18.68,187.5,25000
Apr 26,Sprint Cert (Health/AHP),Meta,0.55,570762.5,4566.1,190.25,76.1,22.83,125.0,25000
Apr 26,Sprint Int Work Abroad,Google,0.45,1325318.32,2356.12,147.26,58.9,17.67,562.5,75000
Apr 26,Sprint Int Work Abroad,Meta,0.55,1619833.51,4319.56,179.98,71.99,21.6,375.0,75000
Apr 26,Edge BSc (Hospitality),Google,0.45,348886.67,620.24,38.77,15.51,4.65,562.5,75000
Apr 26,Edge BSc (Hospitality),Meta,0.55,426417.05,1137.11,47.38,18.95,5.69,375.0,75000
Apr 26,Ascend,Google,0.45,348886.67,620.24,38.77,15.51,4.65,562.5,75000
Apr 26,Ascend,Meta,0.55,426417.05,1137.11,47.38,18.95,5.69,375.0,75000
May 26,Edge BSc (Healthcare),Google,0.4,5237700.0,8216.0,513.5,205.4,61.62,637.5,85000
May 26,Edge BSc (Healthcare),Meta,0.6,7856550.0,18486.0,770.25,308.1,92.43,425.0,85000
May 26,Smart Hosp (BVoc),Google,0.4,1267389.31,2253.14,140.82,56.33,16.9,562.5,75000
May 26,Smart Hosp (BVoc),Meta,0.6,1901083.97,5069.56,211.23,84.49,25.35,375.0,75000
May 26,Sprint Cert (Hospitality),Google,0.4,831880.0,3169.07,198.07,79.23,23.77,262.5,35000
May 26,Sprint Cert (Hospitality),Meta,0.6,1247820.0,7130.4,297.1,118.84,35.65,175.0,35000
May 26,Sprint Cert (Health/AHP),Google,0.4,452800.0,2414.93,150.93,60.37,18.11,187.5,25000
May 26,Sprint Cert (Health/AHP),Meta,0.6,679200.0,5433.6,226.4,90.56,27.17,125.0,25000
May 26,Sprint Int Work Abroad,Google,0.4,1661044.63,2952.97,184.56,73.82,22.15,562.5,75000
May 26,Sprint Int Work Abroad,Meta,0.6,2491566.95,6644.18,276.84,110.74,33.22,375.0,75000
May 26,Edge BSc (Hospitality),Google,0.4,436989.37,776.87,48.55,19.42,5.83,562.5,75000
May 26,Edge BSc (Hospitality),Meta,0.6,655484.05,1747.96,72.83,29.13,8.74,375.0,75000
May 26,Ascend,Google,0.4,436989.37,776.87,48.55,19.42,5.83,562.5,75000
May 26,Ascend,Meta,0.6,655484.05,1747.96,72.83,29.13,8.74,375.0,75000
Jun 26,Edge BSc (Healthcare),Google,0.4,6368880.0,9990.4,624.4,249.76,74.93,637.5,85000
Jun 26,Edge BSc (Healthcare),Meta,0.6,9553320.0,22478.4,936.6,374.64,112.39,425.0,85000
Jun 26,Smart Hosp (BVoc),Google,0.4,992613.31,1764.65,110.29,44.12,13.23,562.5,75000
Jun 26,Smart Hosp (BVoc),Meta,0.6,1488919.96,3970.45,165.44,66.17,19.85,375.0,75000
Jun 26,Sprint Cert (Hospitality),Google,0.4,651420.0,2481.6,155.1,62.04,18.61,262.5,35000
Jun 26,Sprint Cert (Hospitality),Meta,0.6,977130.0,5583.6,232.65,93.06,27.92,175.0,35000
Jun 26,Sprint Cert (Health/AHP),Google,0.4,490600.0,2616.53,163.53,65.41,19.62,187.5,25000
