month,source,budget,target_leads,target_appointments,target_demos,target_enrollments,target_cpl
Mar 26,Google,5462548.12,12756.71,797.29,318.92,95.68,428.21
Mar 26,Meta,5462548.12,19135.06,797.29,318.92,95.68,285.47
Apr 26,Google,6050188.37,13370.45,835.65,334.26,100.28,452.5
Apr 26,Meta,7394674.67,24512.49,1021.35,408.54,122.56,301.67
May 26,Google,10324792.68,20559.84,1284.99,514.0,154.2,502.18
May 26,Meta,15487189.02,46259.65,1927.49,770.99,231.3,334.79
Jun 26,Google,10487796.84,20380.79,1273.8,509.52,152.86,514.59
Jun 26,Meta,15731695.26,45856.79,1910.7,764.28,229.28,343.06
Jul 26,Google,9362554.65,19010.05,1188.13,475.25,142.58,492.51
Jul 26,Meta,9362554.65,28515.08,1188.13,475.25,142.58,328.34
Aug 26,Google,6214064.44,13977.53,873.6,349.44,104.83,444.58
Aug 26,Meta,5084234.54,17154.24,714.76,285.9,85.77,296.38
Sep 26,Google,4780006.97,11144.3,696.52,278.61,83.58,428.92
Sep 26,Meta,3186671.31,11144.3,464.35,185.74,55.72,285.95
Oct 26,Google,4091088.22,9849.15,615.57,246.23,73.87,415.37
Oct 26,Meta,2727392.15,9849.15,410.38,164.15,49.25,276.92
