month_no,month,google_spend,meta_spend,total_spend,google_target_leads,meta_target_leads,total_target_leads,google_target_appointments,meta_target_appointments,total_target_appointments,google_target_demos,meta_target_demos,total_target_demos,google_target_enrollments,meta_target_enrollments,total_target_enrollments,google_cpl,meta_cpl,blended_cpl
1,Jan 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Feb 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,Mar 26,4070662.5,4070662.5,8141325.0,11018.5334,16527.8,27546.3334,688.6584,688.6584,1377.3168,275.4634,275.4634,550.9268,82.639,82.639,165.278,369.44,246.29,295.55
4,Apr 26,5823697.5,7117852.5,12941550.0,14970.93,27446.705,42417.635,935.6832,1143.6127,2079.2959,374.2733,457.4451,831.7184,112.282,137.2336,249.5156,389.0,259.33,305.1
5,May 26,8731680.0,13097520.0,21829200.0,20542.9866,46221.72,66764.7066,1283.9366,1925.905,3209.8416,513.5746,770.362,1283.9366,154.0724,231.1086,385.181,425.04,283.36,326.96
6,Jun 26,12337710.0,18506565.0,30844275.0,28580.1066,64305.24,92885.3466,1786.2566,2679.385,4465.6416,714.5026,1071.754,1786.2566,214.3508,321.5262,535.877,431.69,287.79,332.07
7,Jul 26,10310700.0,10310700.0,20621400.0,24403.7667,36605.65,61009.4167,1525.2355,1525.2355,3050.471,610.0942,610.0942,1220.1884,183.0282,183.0282,366.0564,422.5,281.67,338.0
8,Aug 26,5408823.75,4425401.25,9834225.0,13823.0766,16964.685,30787.7616,863.9423,706.8619,1570.8042,345.5769,282.7447,628.3216,103.6732,84.8234,188.4966,391.29,260.86,319.42
9,Sep 26,3792600.0,2528400.0,6321000.0,10162.32,10162.32,20324.64,635.145,423.4301,1058.5751,254.058,169.3721,423.4301,76.2174,50.8116,127.029,373.2,248.8,311.0
10,Oct 26,2842965.0,1895310.0,4738275.0,7977.32,7977.32,15954.64,498.5825,332.3884,830.9709,199.433,132.9554,332.3884,59.8299,39.8866,99.7165,356.38,237.59,296.98
99,Total,53318838.75,61952411.25,115271250.0,131479.0399,226211.44,357690.4799,8217.4401,9425.477,17642.9171,3286.976,3770.1909,7057.1669,986.0929,1131.0572,2117.1501,405.53,273.87,322.27
