month_no,month,program,spend,target_leads,target_appointments,target_demos,target_enrollments,blended_cpl
1,Jan 26,ASCEND,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,EDGE (BSC) - AHS + Hospitality,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,Residential Campus,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SMART (BVOC) - Hospitality,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SPRINT (Certification) - AHS,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SPRINT (Certification) - Hospitality,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,ASCEND,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,EDGE (BSC) - AHS + Hospitality,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,Residential Campus,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,SMART (BVOC) - Hospitality,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,SPRINT (Certification) - AHS,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,SPRINT (Certification) - Hospitality,0.0,0.0,0.0,0.0,0.0,0
3,Mar 26,ASCEND,237600.0,605.6667,30.2834,12.1134,3.634,392.29
3,Mar 26,EDGE (BSC) - AHS + Hospitality,2019600.0,4554.0,227.7,91.08,27.324,443.48
3,Mar 26,Residential Campus,2250000.0,5750.0,287.5,115.0,34.5,391.3
3,Mar 26,SMART (BVOC) - Hospitality,1716000.0,4389.1667,219.4584,87.7834,26.335,390.96
3,Mar 26,SPRINT (Certification) - AHS,792000.0,6075.8333,303.7916,121.5166,36.455,130.35
3,Mar 26,SPRINT (Certification) - Hospitality,1126125.0,6171.6667,308.5834,123.4334,37.03,182.47
4,Apr 26,ASCEND,594000.0,1544.45,75.7084,30.2833,9.0851,384.6
4,Apr 26,EDGE (BSC) - AHS + Hospitality,5049000.0,11612.7,569.25,227.7,68.31,434.78
4,Apr 26,Residential Campus,2700000.0,7038.0,345.0,138.0,41.4,383.63
4,Apr 26,SMART (BVOC) - Hospitality,2059200.0,5372.34,263.35,105.34,31.602,383.3
4,Apr 26,SPRINT (Certification) - AHS,1188000.0,9296.025,455.6875,182.2751,54.6825,127.8
4,Apr 26,SPRINT (Certification) - Hospitality,1351350.0,7554.12,370.3,148.12,44.436,178.89
5,May 26,ASCEND,1306800.0,3464.4133,166.5583,66.6233,19.987,377.21
5,May 26,EDGE (BSC) - AHS + Hospitality,11107800.0,26048.88,1252.35,500.94,150.282,426.42
5,May 26,Residential Campus,3600000.0,9568.0,460.0,184.0,55.2,376.25
5,May 26,SMART (BVOC) - Hospitality,2745600.0,7303.5733,351.1333,140.4533,42.136,375.93
5,May 26,SPRINT (Certification) - AHS,1267200.0,10110.1867,486.0667,194.4267,58.328,125.34
5,May 26,SPRINT (Certification) - Hospitality,1801800.0,10269.6533,493.7333,197.4933,59.248,175.45
6,Jun 26,ASCEND,1900800.0,5039.1467,242.2667,96.9067,29.072,377.21
6,Jun 26,EDGE (BSC) - AHS + Hospitality,16156800.0,37889.28,1821.6,728.64,218.592,426.42
6,Jun 26,Residential Campus,4950000.0,13156.0,632.5,253.0,75.9,376.25
6,Jun 26,SMART (BVOC) - Hospitality,3775200.0,10042.4133,482.8083,193.1233,57.937,375.93
6,Jun 26,SPRINT (Certification) - AHS,1584000.0,12637.7333,607.5833,243.0333,72.91,125.34
6,Jun 26,SPRINT (Certification) - Hospitality,2477475.0,14120.7733,678.8833,271.5533,81.466,175.45
7,Jul 26,ASCEND,1188000.0,3028.3333,151.4166,60.5666,18.17,392.29
7,Jul 26,EDGE (BSC) - AHS + Hospitality,10098000.0,22770.0,1138.5,455.4,136.62,443.48
7,Jul 26,Residential Campus,3600000.0,9200.0,460.0,184.0,55.2,391.3
7,Jul 26,SMART (BVOC) - Hospitality,2745600.0,7022.6667,351.1334,140.4534,42.136,390.96
7,Jul 26,SPRINT (Certification) - AHS,1188000.0,9113.75,455.6876,182.275,54.6824,130.35
7,Jul 26,SPRINT (Certification) - Hospitality,1801800.0,9874.6667,493.7334,197.4934,59.248,182.47
8,Aug 26,ASCEND,415800.0,1038.7183,52.9958,21.1983,6.3595,400.3
8,Aug 26,EDGE (BSC) - AHS + Hospitality,3534300.0,7810.11,398.475,159.39,47.817,452.53
8,Aug 26,Residential Campus,2250000.0,5635.0,287.5,115.0,34.5,399.29
8,Aug 26,SMART (BVOC) - Hospitality,1716000.0,4301.3833,219.4584,87.7833,26.3351,398.94
8,Aug 26,SPRINT (Certification) - AHS,792000.0,5954.3167,303.7917,121.5167,36.455,133.01
8,Aug 26,SPRINT (Certification) - Hospitality,1126125.0,6048.2333,308.5833,123.4333,37.03,186.19
9,Sep 26,ASCEND,178200.0,436.08,22.7125,9.085,2.7255,408.64
9,Sep 26,EDGE (BSC) - AHS + Hospitality,1514700.0,3278.88,170.775,68.31,20.493,461.96
9,Sep 26,Residential Campus,1800000.0,4416.0,230.0,92.0,27.6,407.61
9,Sep 26,SMART (BVOC) - Hospitality,1372800.0,3370.88,175.5667,70.2267,21.068,407.25
9,Sep 26,SPRINT (Certification) - AHS,554400.0,4082.96,212.6542,85.0617,25.5185,135.78
9,Sep 26,SPRINT (Certification) - Hospitality,900900.0,4739.84,246.8667,98.7467,29.624,190.07
10,Oct 26,ASCEND,118800.0,290.72,15.1417,6.0567,1.817,408.64
10,Oct 26,EDGE (BSC) - AHS + Hospitality,1009800.0,2185.92,113.85,45.54,13.662,461.96
10,Oct 26,Residential Campus,1350000.0,3312.0,172.5,69.0,20.7,407.61
10,Oct 26,SMART (BVOC) - Hospitality,1029600.0,2528.16,131.675,52.67,15.801,407.25
10,Oct 26,SPRINT (Certification) - AHS,554400.0,4082.96,212.6542,85.0617,25.5185,135.78
10,Oct 26,SPRINT (Certification) - Hospitality,675675.0,3554.88,185.15,74.06,22.218,190.07
