month_no,month,program,source,spend,target_leads,target_appointments,target_demos,target_enrollments,target_cpl
1,Jan 26,ASCEND,Google,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,ASCEND,Meta,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,EDGE (BSC) - AHS + Hospitality,Google,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,EDGE (BSC) - AHS + Hospitality,Meta,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,Residential Campus,Google,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,Residential Campus,Meta,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SMART (BVOC) - Hospitality,Google,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SMART (BVOC) - Hospitality,Meta,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SPRINT (Certification) - AHS,Google,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SPRINT (Certification) - AHS,Meta,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SPRINT (Certification) - Hospitality,Google,0.0,0.0,0.0,0.0,0.0,0
1,Jan 26,SPRINT (Certification) - Hospitality,Meta,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,ASCEND,Google,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,ASCEND,Meta,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,EDGE (BSC) - AHS + Hospitality,Google,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,EDGE (BSC) - AHS + Hospitality,Meta,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,Residential Campus,Google,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,Residential Campus,Meta,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,SMART (BVOC) - Hospitality,Google,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,SMART (BVOC) - Hospitality,Meta,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,SPRINT (Certification) - AHS,Google,0.0,0.0,0.0,0.0,0.0,0
2,Feb 26,SPRINT (Certification) - AHS,Meta,0.0,0.0,0.0,0.0,0.0,0
