month_no,month,google_spend,meta_spend,total_spend,google_target_leads,meta_target_leads,total_target_leads,google_target_appointments,meta_target_appointments,total_target_appointments,google_target_demos,meta_target_demos,total_target_demos,google_target_enrollments,meta_target_enrollments,total_target_enrollments,google_cpl,meta_cpl,blended_cpl
1,Jan 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Feb 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,Mar 26,118800.0,118800.0,237600.0,242.2667,363.4,605.6667,15.1417,15.1417,30.2834,6.0567,6.0567,12.1134,1.817,1.817,3.634,490.37,326.91,392.29
4,Apr 26,267300.0,326700.0,594000.0,545.1,999.35,1544.45,34.0688,41.6396,75.7084,13.6275,16.6558,30.2833,4.0883,4.9968,9.0851,490.37,326.91,384.6
5,May 26,522720.0,784080.0,1306800.0,1065.9733,2398.44,3464.4133,66.6233,99.935,166.5583,26.6493,39.974,66.6233,7.9948,11.9922,19.987,490.37,326.91,377.21
6,Jun 26,760320.0,1140480.0,1900800.0,1550.5067,3488.64,5039.1467,96.9067,145.36,242.2667,38.7627,58.144,96.9067,11.6288,17.4432,29.072,490.37,326.91,377.21
7,Jul 26,594000.0,594000.0,1188000.0,1211.3333,1817.0,3028.3333,75.7083,75.7083,151.4166,30.2833,30.2833,60.5666,9.085,9.085,18.17,490.37,326.91,392.29
8,Aug 26,228690.0,187110.0,415800.0,466.3633,572.355,1038.7183,29.1477,23.8481,52.9958,11.6591,9.5392,21.1983,3.4977,2.8618,6.3595,490.37,326.91,400.3
9,Sep 26,106920.0,71280.0,178200.0,218.04,218.04,436.08,13.6275,9.085,22.7125,5.451,3.634,9.085,1.6353,1.0902,2.7255,490.37,326.91,408.64
10,Oct 26,71280.0,47520.0,118800.0,145.36,145.36,290.72,9.085,6.0567,15.1417,3.634,2.4227,6.0567,1.0902,0.7268,1.817,490.37,326.91,408.64
99,Total,2670030.0,3269970.0,5940000.0,5444.9433,10002.585,15447.5283,340.309,416.7744,757.0834,136.1236,166.7097,302.8333,40.8371,50.013,90.8501,490.37,326.91,384.53
