month_no,month,google_spend,meta_spend,total_spend,google_target_leads,meta_target_leads,total_target_leads,google_target_appointments,meta_target_appointments,total_target_appointments,google_target_demos,meta_target_demos,total_target_demos,google_target_enrollments,meta_target_enrollments,total_target_enrollments,google_cpl,meta_cpl,blended_cpl
1,Jan 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Feb 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,Mar 26,1009800.0,1009800.0,2019600.0,1821.6,2732.4,4554.0,113.85,113.85,227.7,45.54,45.54,91.08,13.662,13.662,27.324,554.35,369.57,443.48
4,Apr 26,2272050.0,2776950.0,5049000.0,4098.6,7514.1,11612.7,256.1625,313.0875,569.25,102.465,125.235,227.7,30.7395,37.5705,68.31,554.35,369.57,434.78
5,May 26,4443120.0,6664680.0,11107800.0,8015.04,18033.84,26048.88,500.94,751.41,1252.35,200.376,300.564,500.94,60.1128,90.1692,150.282,554.35,369.57,426.42
6,Jun 26,6462720.0,9694080.0,16156800.0,11658.24,26231.04,37889.28,728.64,1092.96,1821.6,291.456,437.184,728.64,87.4368,131.1552,218.592,554.35,369.57,426.42
7,Jul 26,5049000.0,5049000.0,10098000.0,9108.0,13662.0,22770.0,569.25,569.25,1138.5,227.7,227.7,455.4,68.31,68.31,136.62,554.35,369.57,443.48
8,Aug 26,1943865.0,1590435.0,3534300.0,3506.58,4303.53,7810.11,219.1613,179.3137,398.475,87.6645,71.7255,159.39,26.2994,21.5176,47.817,554.35,369.57,452.53
9,Sep 26,908820.0,605880.0,1514700.0,1639.44,1639.44,3278.88,102.465,68.31,170.775,40.986,27.324,68.31,12.2958,8.1972,20.493,554.35,369.57,461.96
10,Oct 26,605880.0,403920.0,1009800.0,1092.96,1092.96,2185.92,68.31,45.54,113.85,27.324,18.216,45.54,8.1972,5.4648,13.662,554.35,369.57,461.96
99,Total,22695255.0,27794745.0,50490000.0,40940.46,75209.31,116149.77,2558.7788,3133.7212,5692.5,1023.5115,1253.4885,2277.0,307.0535,376.0465,683.1,554.35,369.57,434.7
