month_no,month,google_spend,meta_spend,total_spend,google_target_leads,meta_target_leads,total_target_leads,google_target_appointments,meta_target_appointments,total_target_appointments,google_target_demos,meta_target_demos,total_target_demos,google_target_enrollments,meta_target_enrollments,total_target_enrollments,google_cpl,meta_cpl,blended_cpl
1,Jan 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Feb 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,Mar 26,1125000.0,1125000.0,2250000.0,2300.0,3450.0,5750.0,143.75,143.75,287.5,57.5,57.5,115.0,17.25,17.25,34.5,489.13,326.09,391.3
4,Apr 26,1215000.0,1485000.0,2700000.0,2484.0,4554.0,7038.0,155.25,189.75,345.0,62.1,75.9,138.0,18.63,22.77,41.4,489.13,326.09,383.63
5,May 26,1440000.0,2160000.0,3600000.0,2944.0,6624.0,9568.0,184.0,276.0,460.0,73.6,110.4,184.0,22.08,33.12,55.2,489.13,326.09,376.25
6,Jun 26,1980000.0,2970000.0,4950000.0,4048.0,9108.0,13156.0,253.0,379.5,632.5,101.2,151.8,253.0,30.36,45.54,75.9,489.13,326.09,376.25
7,Jul 26,1800000.0,1800000.0,3600000.0,3680.0,5520.0,9200.0,230.0,230.0,460.0,92.0,92.0,184.0,27.6,27.6,55.2,489.13,326.09,391.3
8,Aug 26,1237500.0,1012500.0,2250000.0,2530.0,3105.0,5635.0,158.125,129.375,287.5,63.25,51.75,115.0,18.975,15.525,34.5,489.13,326.09,399.29
9,Sep 26,1080000.0,720000.0,1800000.0,2208.0,2208.0,4416.0,138.0,92.0,230.0,55.2,36.8,92.0,16.56,11.04,27.6,489.13,326.09,407.61
10,Oct 26,810000.0,540000.0,1350000.0,1656.0,1656.0,3312.0,103.5,69.0,172.5,41.4,27.6,69.0,12.42,8.28,20.7,489.13,326.09,407.61
99,Total,10687500.0,11812500.0,22500000.0,21850.0,36225.0,58075.0,1365.625,1509.375,2875.0,546.25,603.75,1150.0,163.875,181.125,345.0,489.13,326.09,387.43
