month_no,month,google_spend,meta_spend,total_spend,google_target_leads,meta_target_leads,total_target_leads,google_target_appointments,meta_target_appointments,total_target_appointments,google_target_demos,meta_target_demos,total_target_demos,google_target_enrollments,meta_target_enrollments,total_target_enrollments,google_cpl,meta_cpl,blended_cpl
1,Jan 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Feb 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,Mar 26,396000.0,396000.0,792000.0,2430.3333,3645.5,6075.8333,151.8958,151.8958,303.7916,60.7583,60.7583,121.5166,18.2275,18.2275,36.455,162.94,108.63,130.35
4,Apr 26,534600.0,653400.0,1188000.0,3280.95,6015.075,9296.025,205.0594,250.6281,455.6875,82.0238,100.2513,182.2751,24.6071,30.0754,54.6825,162.94,108.63,127.8
5,May 26,506880.0,760320.0,1267200.0,3110.8267,6999.36,10110.1867,194.4267,291.64,486.0667,77.7707,116.656,194.4267,23.3312,34.9968,58.328,162.94,108.63,125.34
6,Jun 26,633600.0,950400.0,1584000.0,3888.5333,8749.2,12637.7333,243.0333,364.55,607.5833,97.2133,145.82,243.0333,29.164,43.746,72.91,162.94,108.63,125.34
7,Jul 26,594000.0,594000.0,1188000.0,3645.5,5468.25,9113.75,227.8438,227.8438,455.6876,91.1375,91.1375,182.275,27.3412,27.3412,54.6824,162.94,108.63,130.35
8,Aug 26,435600.0,356400.0,792000.0,2673.3667,3280.95,5954.3167,167.0854,136.7063,303.7917,66.8342,54.6825,121.5167,20.0503,16.4047,36.455,162.94,108.63,133.01
9,Sep 26,332640.0,221760.0,554400.0,2041.48,2041.48,4082.96,127.5925,85.0617,212.6542,51.037,34.0247,85.0617,15.3111,10.2074,25.5185,162.94,108.63,135.78
10,Oct 26,332640.0,221760.0,554400.0,2041.48,2041.48,4082.96,127.5925,85.0617,212.6542,51.037,34.0247,85.0617,15.3111,10.2074,25.5185,162.94,108.63,135.78
99,Total,3765960.0,4154040.0,7920000.0,23112.47,38241.295,61353.765,1444.5294,1593.3874,3037.9168,577.8118,637.355,1215.1668,173.3435,191.2064,364.5499,162.94,108.63,129.09
