month_no,month,google_spend,meta_spend,total_spend,google_target_leads,meta_target_leads,total_target_leads,google_target_appointments,meta_target_appointments,total_target_appointments,google_target_demos,meta_target_demos,total_target_demos,google_target_enrollments,meta_target_enrollments,total_target_enrollments,google_cpl,meta_cpl,blended_cpl
1,Jan 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Feb 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,Mar 26,563062.5,563062.5,1126125.0,2468.6667,3703.0,6171.6667,154.2917,154.2917,308.5834,61.7167,61.7167,123.4334,18.515,18.515,37.03,228.08,152.06,182.47
4,Apr 26,608107.5,743242.5,1351350.0,2666.16,4887.96,7554.12,166.635,203.665,370.3,66.654,81.466,148.12,19.9962,24.4398,44.436,228.08,152.06,178.89
5,May 26,720720.0,1081080.0,1801800.0,3159.8933,7109.76,10269.6533,197.4933,296.24,493.7333,78.9973,118.496,197.4933,23.6992,35.5488,59.248,228.08,152.06,175.45
6,Jun 26,990990.0,1486485.0,2477475.0,4344.8533,9775.92,14120.7733,271.5533,407.33,678.8833,108.6213,162.932,271.5533,32.5864,48.8796,81.466,228.08,152.06,175.45
7,Jul 26,900900.0,900900.0,1801800.0,3949.8667,5924.8,9874.6667,246.8667,246.8667,493.7334,98.7467,98.7467,197.4934,29.624,29.624,59.248,228.08,152.06,182.47
8,Aug 26,619368.75,506756.25,1126125.0,2715.5333,3332.7,6048.2333,169.7208,138.8625,308.5833,67.8883,55.545,123.4333,20.3665,16.6635,37.03,228.08,152.06,186.19
9,Sep 26,540540.0,360360.0,900900.0,2369.92,2369.92,4739.84,148.12,98.7467,246.8667,59.248,39.4987,98.7467,17.7744,11.8496,29.624,228.08,152.06,190.07
10,Oct 26,405405.0,270270.0,675675.0,1777.44,1777.44,3554.88,111.09,74.06,185.15,44.436,29.624,74.06,13.3308,8.8872,22.218,228.08,152.06,190.07
99,Total,5349093.75,5912156.25,11261250.0,23452.3333,38881.5,62333.8333,1465.7708,1620.0626,3085.8334,586.3083,648.0251,1234.3334,175.8925,194.4075,370.3,228.08,152.06,180.66
