month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,0,0.5,0,0.5,0,0,0,0,0
Feb 26,0,0.5,0,0.5,0,0,0,0,0
Mar 26,237600,0.5,118800,0.5,118800,581.44,30.2833,12.1133,3.634
Apr 26,594000,0.45,267300,0.55,326700,1483.2653,75.7083,30.2833,9.085
May 26,1306800,0.4,522720,0.6,784080,3331.1667,166.5583,66.6233,19.987
Jun 26,1900800,0.4,760320,0.6,1140480,4845.3333,242.2667,96.9067,29.072
Jul 26,1188000,0.5,594000,0.5,594000,2907.2,151.4167,60.5667,18.17
Aug 26,415800,0.55,228690,0.45,187110,997.5686,52.9958,21.1983,6.3595
Sep 26,178200,0.6,106920,0.4,71280,419.3077,22.7125,9.085,2.7255
Oct 26,118800,0.6,71280,0.4,47520,279.5385,15.1417,6.0567,1.817
Total,5940000.0,,2670030.0,,3269970.0,14844.8201,757.0833,302.8333,90.85
