month,campus,campus_admission_target,campus_edge_target,edge_target_perf_calc,perf_target_pct_input,normalized_campus_weight,allocated_spend,target_leads,target_bookings,target_appointments,target_demos,target_enrollments
Jan 26,Jamshedpur-ArkaJain,60,300,234.0,0.2,0.066667,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Indore-MediCaps,45,300,234.0,0.15,0.066667,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Kolkata-TechnoIndia,60,200,156.0,0.3,0.044444,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Pune-ADYPatil,60,200,156.0,0.3,0.044444,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Bengaluru-Presidency,24,160,124.8,0.15,0.035556,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Bangalore-Yenepoya,20,50,39.0,0.4,0.011111,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Chennai-AMET,60,220,171.6,0.2727,0.048889,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Hyderabad-MNR,53,350,273.0,0.1514,0.077778,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Gurugram-KRMangalam,50,200,156.0,0.25,0.044444,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Jalandhar-LPU,60,220,171.6,0.2727,0.048889,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Dehradun-DBS,25,60,46.8,0.4167,0.013333,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Hyderabad-SMRU,58,230,179.4,0.2522,0.051111,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Bengaluru-GHAcademy,35,140,109.2,0.25,0.031111,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Mysuru-BIMS,25,100,78.0,0.25,0.022222,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Hubli-SCNursing,25,100,78.0,0.25,0.022222,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Mumbai-SkillTech,60,150,117.0,0.4,0.033333,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Dehradun-MayaDevi,45,180,140.4,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Kopargaon-Sanjivani,55,220,171.6,0.25,0.048889,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Mathura-Sanskriti,60,240,187.2,0.25,0.053333,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,Mohali-Saraswati,100,250,195.0,0.4,0.055556,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,St. Peters-Chennai,48,160,124.8,0.3,0.035556,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,St. Peters-Bangalore,45,150,117.0,0.3,0.033333,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,New 11,24,80,62.4,0.3,0.017778,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,New 12,24,80,62.4,0.3,0.017778,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,New 13,24,80,62.4,0.3,0.017778,0.0,0.0,0.0,0.0,0.0,0.0
Jan 26,New 14,24,80,62.4,0.3,0.017778,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Jamshedpur-ArkaJain,60,300,234.0,0.2,0.066667,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Indore-MediCaps,45,300,234.0,0.15,0.066667,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Kolkata-TechnoIndia,60,200,156.0,0.3,0.044444,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Pune-ADYPatil,60,200,156.0,0.3,0.044444,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bengaluru-Presidency,24,160,124.8,0.15,0.035556,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Bangalore-Yenepoya,20,50,39.0,0.4,0.011111,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Chennai-AMET,60,220,171.6,0.2727,0.048889,0.0,0.0,0.0,0.0,0.0,0.0
Feb 26,Hyderabad-MNR,53,350,273.0,0.1514,0.077778,0.0,0.0,0.0,0.0,0.0,0.0
