month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,0,0.5,0,0.5,0,0,0,0,0
Feb 26,0,0.5,0,0.5,0,0,0,0,0
Mar 26,2019600,0.5,1009800,0.5,1009800,4371.84,227.7,91.08,27.324
Apr 26,5049000,0.45,2272050,0.55,2776950,11152.6531,569.25,227.7,68.31
May 26,11107800,0.4,4443120,0.6,6664680,25047,1252.35,500.94,150.282
Jun 26,16156800,0.4,6462720,0.6,9694080,36432,1821.6,728.64,218.592
Jul 26,10098000,0.5,5049000,0.5,5049000,21859.2,1138.5,455.4,136.62
Aug 26,3534300,0.55,1943865,0.45,1590435,7500.7059,398.475,159.39,47.817
Sep 26,1514700,0.6,908820,0.4,605880,3152.7692,170.775,68.31,20.493
Oct 26,1009800,0.6,605880,0.4,403920,2101.8462,113.85,45.54,13.662
Total,50490000.0,,22695255.0,,27794745.0,111618.0144,5692.5,2277.0,683.1
