month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,0,0.5,0,0.5,0,0,0,0,0
Feb 26,0,0.5,0,0.5,0,0,0,0,0
Mar 26,2250000,0.5,1125000,0.5,1125000,5520,287.5,115,34.5
Apr 26,2700000,0.45,1215000,0.55,1485000,6759.1837,345,138,41.4
May 26,3600000,0.4,1440000,0.6,2160000,9200,460,184,55.2
Jun 26,4950000,0.4,1980000,0.6,2970000,12650,632.5,253,75.9
Jul 26,3600000,0.5,1800000,0.5,1800000,8832,460,184,55.2
Aug 26,2250000,0.55,1237500,0.45,1012500,5411.7647,287.5,115,34.5
Sep 26,1800000,0.6,1080000,0.4,720000,4246.1538,230,92,27.6
Oct 26,1350000,0.6,810000,0.4,540000,3184.6154,172.5,69,20.7
Total,22500000.0,,10687500.0,,11812500.0,55803.7176,2875.0,1150.0,345.0
