month,campus,source,source_spend_pct_month,allocated_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,Campus 1,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 1,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 2,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 2,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 3,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 3,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 4,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 4,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 5,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 5,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 6,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 6,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 7,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 7,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 8,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 8,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 9,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 9,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 10,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 10,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 11,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 11,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 12,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 12,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 13,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 13,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 14,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 14,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 15,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 15,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 16,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 16,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 17,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 17,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 18,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 18,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 19,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 19,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 20,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 20,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 21,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 21,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 22,Google,0.5,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 22,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 1,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 1,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 2,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 2,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 3,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 3,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 4,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 4,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 5,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 5,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 6,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 6,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 7,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 7,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 8,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 8,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 9,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 9,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 10,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 10,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 11,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 11,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 12,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 12,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 13,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 13,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 14,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 14,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 15,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 15,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 16,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 16,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 17,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 17,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 18,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 18,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 19,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 19,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 20,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 20,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 21,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 21,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 22,Google,0.5,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 22,Meta,0.5,0.0,0.0,0.0,0.0,0.0
Mar 26,Campus 1,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 1,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 2,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 2,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 3,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 3,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 4,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 4,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 5,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 5,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 6,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 6,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 7,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 7,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 8,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 8,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 9,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 9,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 10,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 10,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 11,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 11,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 12,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 12,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 13,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 13,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 14,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 14,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 15,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 15,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 16,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 16,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 17,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 17,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 18,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 18,Meta,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
Mar 26,Campus 19,Google,0.5,18000.0,132.5636,6.9043,2.7618,0.8285
