month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,0,0.5,0,0.5,0,0,0,0,0
Feb 26,0,0.5,0,0.5,0,0,0,0,0
Mar 26,792000,0.5,396000,0.5,396000,5832.8,303.7917,121.5167,36.455
Apr 26,1188000,0.45,534600,0.55,653400,8927.7551,455.6875,182.275,54.6825
May 26,1267200,0.4,506880,0.6,760320,9721.3333,486.0667,194.4267,58.328
Jun 26,1584000,0.4,633600,0.6,950400,12151.6667,607.5833,243.0333,72.91
Jul 26,1188000,0.5,594000,0.5,594000,8749.2,455.6875,182.275,54.6825
Aug 26,792000,0.55,435600,0.45,356400,5718.4314,303.7917,121.5167,36.455
Sep 26,554400,0.6,332640,0.4,221760,3925.9231,212.6542,85.0617,25.5185
Oct 26,554400,0.6,332640,0.4,221760,3925.9231,212.6542,85.0617,25.5185
Total,7920000.0,,3765960.0,,4154040.0,58953.0327,3037.9168,1215.1668,364.55
