month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,0,0.5,0,0.5,0,0,0,0,0
Feb 26,0,0.5,0,0.5,0,0,0,0,0
Mar 26,1126125,0.5,563062.5,0.5,563062.5,5924.8,308.5833,123.4333,37.03
Apr 26,1351350,0.45,608107.5,0.55,743242.5,7254.8571,370.3,148.12,44.436
May 26,1801800,0.4,720720,0.6,1081080,9874.6667,493.7333,197.4933,59.248
Jun 26,2477475,0.4,990990,0.6,1486485,13577.6667,678.8833,271.5533,81.466
Jul 26,1801800,0.5,900900,0.5,900900,9479.68,493.7333,197.4933,59.248
Aug 26,1126125,0.55,619368.75,0.45,506756.25,5808.6275,308.5833,123.4333,37.03
Sep 26,900900,0.6,540540,0.4,360360,4557.5385,246.8667,98.7467,29.624
Oct 26,675675,0.6,405405,0.4,270270,3418.1538,185.15,74.06,22.218
Total,11261250.0,,5349093.75,,5912156.25,59895.9903,3085.8332,1234.3332,370.3
