month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
Jan 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,237600,0.5,118800,0.5,118800,0.04,3.634,12.1133,30.2833,581.44,0.00625
Apr 26,594000,0.45,267300,0.55,326700,0.1,9.085,30.2833,75.7083,1483.2653,0.006125
May 26,1306800,0.4,522720,0.6,784080,0.22,19.987,66.6233,166.5583,3331.1667,0.006
Jun 26,1900800,0.4,760320,0.6,1140480,0.32,29.072,96.9067,242.2667,4845.3333,0.006
Jul 26,1188000,0.5,594000,0.5,594000,0.2,18.17,60.5667,151.4167,2907.2,0.00625
Aug 26,415800,0.55,228690,0.45,187110,0.07,6.3595,21.1983,52.9958,997.5686,0.006375
Sep 26,178200,0.6,106920,0.4,71280,0.03,2.7255,9.085,22.7125,419.3077,0.0065
Oct 26,118800,0.6,71280,0.4,47520,0.02,1.817,6.0567,15.1417,279.5385,0.0065
