month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
Jan 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,2019600,0.5,1009800,0.5,1009800,0.04,27.324,91.08,227.7,4371.84,0.00625
Apr 26,5049000,0.45,2272050,0.55,2776950,0.1,68.31,227.7,569.25,11152.6531,0.006125
May 26,11107800,0.4,4443120,0.6,6664680,0.22,150.282,500.94,1252.35,25047,0.006
Jun 26,16156800,0.4,6462720,0.6,9694080,0.32,218.592,728.64,1821.6,36432,0.006
Jul 26,10098000,0.5,5049000,0.5,5049000,0.2,136.62,455.4,1138.5,21859.2,0.00625
Aug 26,3534300,0.55,1943865,0.45,1590435,0.07,47.817,159.39,398.475,7500.7059,0.006375
Sep 26,1514700,0.6,908820,0.4,605880,0.03,20.493,68.31,170.775,3152.7692,0.0065
Oct 26,1009800,0.6,605880,0.4,403920,0.02,13.662,45.54,113.85,2101.8462,0.0065
