month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
Jan 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,2250000,0.5,1125000,0.5,1125000,0.1,34.5,115,287.5,5520,0.00625
Apr 26,2700000,0.45,1215000,0.55,1485000,0.12,41.4,138,345,6759.1837,0.006125
May 26,3600000,0.4,1440000,0.6,2160000,0.16,55.2,184,460,9200,0.006
Jun 26,4950000,0.4,1980000,0.6,2970000,0.22,75.9,253,632.5,12650,0.006
Jul 26,3600000,0.5,1800000,0.5,1800000,0.16,55.2,184,460,8832,0.00625
Aug 26,2250000,0.55,1237500,0.45,1012500,0.1,34.5,115,287.5,5411.7647,0.006375
Sep 26,1800000,0.6,1080000,0.4,720000,0.08,27.6,92,230,4246.1538,0.0065
Oct 26,1350000,0.6,810000,0.4,540000,0.06,20.7,69,172.5,3184.6154,0.0065
