month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
Jan 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,1716000,0.5,858000,0.5,858000,0.1,26.335,87.7833,219.4583,4213.6,0.00625
Apr 26,2059200,0.45,926640,0.55,1132560,0.12,31.602,105.34,263.35,5159.5102,0.006125
May 26,2745600,0.4,1098240,0.6,1647360,0.16,42.136,140.4533,351.1333,7022.6667,0.006
Jun 26,3775200,0.4,1510080,0.6,2265120,0.22,57.937,193.1233,482.8083,9656.1667,0.006
Jul 26,2745600,0.5,1372800,0.5,1372800,0.16,42.136,140.4533,351.1333,6741.76,0.00625
Aug 26,1716000,0.55,943800,0.45,772200,0.1,26.335,87.7833,219.4583,4130.9804,0.006375
Sep 26,1372800,0.6,823680,0.4,549120,0.08,21.068,70.2267,175.5667,3241.2308,0.0065
Oct 26,1029600,0.6,617760,0.4,411840,0.06,15.801,52.67,131.675,2430.9231,0.0065
