month,monthly_budget,google_spend_pct,google_spend,meta_spend_pct,meta_spend,monthly_budget_share_of_program,target_enrollments,target_demos,target_appointments,target_leads,blended_lead_to_enroll_rate
Jan 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Feb 26,0,0.5,0,0.5,0,0,0,0,0,0,0.00625
Mar 26,792000,0.5,396000,0.5,396000,0.1,36.455,121.5167,303.7917,5832.8,0.00625
Apr 26,1188000,0.45,534600,0.55,653400,0.15,54.6825,182.275,455.6875,8927.7551,0.006125
May 26,1267200,0.4,506880,0.6,760320,0.16,58.328,194.4267,486.0667,9721.3333,0.006
Jun 26,1584000,0.4,633600,0.6,950400,0.2,72.91,243.0333,607.5833,12151.6667,0.006
Jul 26,1188000,0.5,594000,0.5,594000,0.15,54.6825,182.275,455.6875,8749.2,0.00625
Aug 26,792000,0.55,435600,0.45,356400,0.1,36.455,121.5167,303.7917,5718.4314,0.006375
Sep 26,554400,0.6,332640,0.4,221760,0.07,25.5185,85.0617,212.6542,3925.9231,0.0065
Oct 26,554400,0.6,332640,0.4,221760,0.07,25.5185,85.0617,212.6542,3925.9231,0.0065
